Angkatan,Kode MK,Nama Mata Kuliah
20061,705883,Sistem Informasi Enterprise
20061,705101,AlQuran Dan Ilmu Tafsir
20061,705102,Bahasa Indonesia
20061,705107,Pengantar Teknologi Informasi
20061,705111,Praktik Ibadah
20061,705216,English Communication Skill
20061,705214,Ilmu TauhidAqidah
20061,705221,Praktik Tilawah
20061,705328,Komunikasi Data
20061,705327,Probabilitas dan Statistika
20061,705438,Grafika Komputer
20061,705431,Jaringan Komputer
20061,705430,Matematika Diskrit
20061,705435B,Pemrograman Web I 
20061,705534,Etika Profesi
20061,705533,Riset Teknologi Informasi
20061,705539,Teori Bahasa dan Otomata
20061,705603,Keamanan Komputer 
20061,705604,Manajemen Proyek Perangkat Lunak
20061,705649,Sistem Informasi Geografis
20061,705652,Sistem Multimedia
20061,UN8301,Sejarah Peradaban Islam
20061,705608,Kerja Praktek
20061,705759,Sistem Basisdata Terdistribusi
20061,705742,WirelessMobile Computing
20061,UN8201,Akhlak Tasawuf
20061,705880,Kuliah Kerja Nyata
20061,705883,Sistem Informasi Enterprise
20061,705882,Tugas Akhir Skripsi
20061,705214,Ilmu TauhidAqidah
20061,705329,Pengantar Basis Data
20061,705435B,Pemrograman Web I 
20061,705534,Etika Profesi
20061,705608,Kerja Praktek
20061,705603,Keamanan Komputer 
20061,705758,ecommerce
20061,705880,Kuliah Kerja Nyata
20061,705883,Sistem Informasi Enterprise
20061,UN8201,Akhlak Tasawuf
20061,705220,Komputer dan Masyarakat
20061,705212,Bahasa Arab II
20061,705220,Komputer dan Masyarakat
20061,705221,Praktik Tilawah
20061,705329,Pengantar Basis Data
20061,705327,Probabilitas dan Statistika
20061,705322,Sejarah Peradaban Islam
20061,705432,Sistem Operasi
20061,705534,Etika Profesi
20061,705538,Interpersonal Skill
20061,705601,Interaksi Manusia dan Komputer
20061,705604,Manajemen Proyek Perangkat Lunak
20061,705649,Sistem Informasi Geografis
20061,705101,AlQuran Dan Ilmu Tafsir
20061,705211,Hadits dan Ilmu Hadits
20061,705322,Sejarah Peradaban Islam
20061,705101,AlQuran Dan Ilmu Tafsir
20061,705104,Bahasa Arab I
20061,705102,Bahasa Indonesia
20061,705212,Bahasa Arab II
20061,705211,Hadits dan Ilmu Hadits
20061,705215,Ilmu Fiqih
20061,705218,Kalkulus II
20061,705220,Komputer dan Masyarakat
20061,705326,Organisasi  Arsitektur Komputer
20061,705329,Pengantar Basis Data
20061,705322,Sejarah Peradaban Islam
20061,705438,Grafika Komputer
20061,705435B,Pemrograman Web I 
20061,705534,Etika Profesi
20061,705538,Interpersonal Skill
20061,705535,Rekayasa Perangkat Lunak II
20061,705601,Interaksi Manusia dan Komputer
20061,705603,Keamanan Komputer 
20061,705604,Manajemen Proyek Perangkat Lunak
20061,705652,Sistem Multimedia
20061,705742,WirelessMobile Computing
20061,705101,AlQuran Dan Ilmu Tafsir
20061,705111,Praktik Ibadah
20061,705211,Hadits dan Ilmu Hadits
20061,705221,Praktik Tilawah
20061,705329,Pengantar Basis Data
20061,705327,Probabilitas dan Statistika
20061,705322,Sejarah Peradaban Islam
20061,705430,Matematika Diskrit
20061,705432,Sistem Operasi
20061,705534,Etika Profesi
20061,705537,Pemrograman Web II
20061,UN8205,Hadits dan Ilmu Hadits
20061,705649,Sistem Informasi Geografis
20061,705652,Sistem Multimedia
20061,705759,Sistem Basisdata Terdistribusi
20061,705608,Kerja Praktek
20061,705880,Kuliah Kerja Nyata
20061,705883,Sistem Informasi Enterprise
20061,UN8201,Akhlak Tasawuf
20061,705101,AlQuran Dan Ilmu Tafsir
20061,705211,Hadits dan Ilmu Hadits
20061,705220,Komputer dan Masyarakat
20061,705221,Praktik Tilawah
20061,705328,Komunikasi Data
20061,705322,Sejarah Peradaban Islam
20061,705438,Grafika Komputer
20061,705431,Jaringan Komputer
20061,705435B,Pemrograman Web I 
20061,705534,Etika Profesi
20061,705537,Pemrograman Web II
20061,705535,Rekayasa Perangkat Lunak II
20061,705533,Riset Teknologi Informasi
20061,705603,Keamanan Komputer 
20061,705604,Manajemen Proyek Perangkat Lunak
20061,705652,Sistem Multimedia
20061,705759,Sistem Basisdata Terdistribusi
20061,705608,Kerja Praktek
20061,705880,Kuliah Kerja Nyata
20061,705883,Sistem Informasi Enterprise
20061,705101,AlQuran Dan Ilmu Tafsir
20061,705102,Bahasa Indonesia
20061,705110,Pendidikan Pancasila dan Kewarganegaraan
20061,705107,Pengantar Teknologi Informasi
20061,705109,Pengetahuan Lingkungan
20061,705212,Bahasa Arab II
20061,705216,English Communication Skill
20061,705211,Hadits dan Ilmu Hadits
20061,705215,Ilmu Fiqih
20061,705323,Akhlak Tasawuf
20061,705328,Komunikasi Data
20061,705329,Pengantar Basis Data
20061,705327,Probabilitas dan Statistika
20061,705322,Sejarah Peradaban Islam
20061,705431,Jaringan Komputer
20061,705435B,Pemrograman Web I 
20061,705434,Rekayasa Perangkat Lunak I 
20061,705433,Sistem Teknologi Basis Data
20061,705534,Etika Profesi
20061,705608,Kerja Praktek
20061,705880,Kuliah Kerja Nyata
20061,705882,Tugas Akhir Skripsi
20061,705327,Probabilitas dan Statistika
20061,705534,Etika Profesi
20061,705535,Rekayasa Perangkat Lunak II
20061,705603,Keamanan Komputer 
20061,705883,Sistem Informasi Enterprise
20061,705327,Probabilitas dan Statistika
20061,705322,Sejarah Peradaban Islam
20061,705435B,Pemrograman Web I 
20061,705534,Etika Profesi
20061,705537,Pemrograman Web II
20061,705603,Keamanan Komputer 
20061,705649,Sistem Informasi Geografis
20061,705608,Kerja Praktek
20061,705883,Sistem Informasi Enterprise
20061,705880,Kuliah Kerja Nyata
20061,705212,Bahasa Arab II
20061,705213,Ilmu Budaya Dasar  Ilmu Sosial Dasar
20061,705604,Manajemen Proyek Perangkat Lunak
20061,UN8201,Akhlak Tasawuf
20061,705608,Kerja Praktek
20061,705880,Kuliah Kerja Nyata
20061,705883,Sistem Informasi Enterprise
20061,705101,AlQuran Dan Ilmu Tafsir
20061,705104,Bahasa Arab I
20061,705110,Pendidikan Pancasila dan Kewarganegaraan
20061,705107,Pengantar Teknologi Informasi
20061,705109,Pengetahuan Lingkungan
20061,705111,Praktik Ibadah
20061,705219,Algoritma dan Pemrograman
20061,705212,Bahasa Arab II
20061,705216,English Communication Skill
20061,705211,Hadits dan Ilmu Hadits
20061,705213,Ilmu Budaya Dasar  Ilmu Sosial Dasar
20061,705215,Ilmu Fiqih
20061,705214,Ilmu TauhidAqidah
20061,705220,Komputer dan Masyarakat
20061,705221,Praktik Tilawah
20061,705323,Akhlak Tasawuf
20061,705325,Logika Informatika
20061,705326,Organisasi  Arsitektur Komputer
20061,705327,Probabilitas dan Statistika
20061,705322,Sejarah Peradaban Islam
20061,705431,Jaringan Komputer
20061,705430,Matematika Diskrit
20061,705436,Metode Numerik
20061,705435B,Pemrograman Web I 
20061,705432,Sistem Operasi
20061,705534,Etika Profesi
20061,705538,Interpersonal Skill
20061,705533,Riset Teknologi Informasi
20061,705539,Teori Bahasa dan Otomata
20061,705602,Anal Peranc Sistem Berorientasi Objek
20061,705601,Interaksi Manusia dan Komputer
20061,705603,Keamanan Komputer 
20061,705604,Manajemen Proyek Perangkat Lunak
20061,705649,Sistem Informasi Geografis
20061,705759,Sistem Basisdata Terdistribusi
20061,705742,WirelessMobile Computing
20061,705608,Kerja Praktek
20061,KM8600,Komprehensif
20061,705880,Kuliah Kerja Nyata
20061,705883,Sistem Informasi Enterprise
20061,705882,Tugas Akhir Skripsi
20061,705102,Bahasa Indonesia
20061,705110,Pendidikan Pancasila dan Kewarganegaraan
20061,705111,Praktik Ibadah
20061,705215,Ilmu Fiqih
20061,705221,Praktik Tilawah
20061,705323,Akhlak Tasawuf
20061,705328,Komunikasi Data
20061,705327,Probabilitas dan Statistika
20061,705431,Jaringan Komputer
20061,705430,Matematika Diskrit
20061,705435B,Pemrograman Web I 
20061,705432,Sistem Operasi
20061,705539,Teori Bahasa dan Otomata
20061,705602,Anal Peranc Sistem Berorientasi Objek
20061,705603,Keamanan Komputer 
20061,705649,Sistem Informasi Geografis
20061,705880,Kuliah Kerja Nyata
20061,705882,Tugas Akhir Skripsi
20061,705101,AlQuran Dan Ilmu Tafsir
20061,705102,Bahasa Indonesia
20061,705103,Bahasa Inggris
20061,705111,Praktik Ibadah
20061,705219,Algoritma dan Pemrograman
20061,705212,Bahasa Arab II
20061,705216,English Communication Skill
20061,705211,Hadits dan Ilmu Hadits
20061,705213,Ilmu Budaya Dasar  Ilmu Sosial Dasar
20061,705215,Ilmu Fiqih
20061,705220,Komputer dan Masyarakat
20061,705221,Praktik Tilawah
20061,705327,Probabilitas dan Statistika
20061,705330,Sistem Informasi
20061,705436,Metode Numerik
20061,705435B,Pemrograman Web I 
20061,705434,Rekayasa Perangkat Lunak I 
20061,705534,Etika Profesi
20061,705538,Interpersonal Skill
20061,705537,Pemrograman Web II
20061,705535,Rekayasa Perangkat Lunak II
20061,705601,Interaksi Manusia dan Komputer
20061,705603,Keamanan Komputer 
20061,705604,Manajemen Proyek Perangkat Lunak
20061,705649,Sistem Informasi Geografis
20061,705608,Kerja Praktek
20061,705740,Kewirausahaan
20061,705759,Sistem Basisdata Terdistribusi
20061,705880,Kuliah Kerja Nyata
20061,705883,Sistem Informasi Enterprise
20061,705882,Tugas Akhir Skripsi
20061,705101,AlQuran Dan Ilmu Tafsir
20061,705104,Bahasa Arab I
20061,705103,Bahasa Inggris
20061,705107,Pengantar Teknologi Informasi
20061,705111,Praktik Ibadah
20061,705216,English Communication Skill
20061,705211,Hadits dan Ilmu Hadits
20061,705213,Ilmu Budaya Dasar  Ilmu Sosial Dasar
20061,705218,Kalkulus II
20061,705220,Komputer dan Masyarakat
20061,705329,Pengantar Basis Data
20061,705327,Probabilitas dan Statistika
20061,705322,Sejarah Peradaban Islam
20061,705438,Grafika Komputer
20061,705431,Jaringan Komputer
20061,705430,Matematika Diskrit
20061,705436,Metode Numerik
20061,705435B,Pemrograman Web I 
20061,705434,Rekayasa Perangkat Lunak I 
20061,705432,Sistem Operasi
20061,705534,Etika Profesi
20061,705538,Interpersonal Skill
20061,705537,Pemrograman Web II
20061,705539,Teori Bahasa dan Otomata
20061,705602,Anal Peranc Sistem Berorientasi Objek
20061,705604,Manajemen Proyek Perangkat Lunak
20061,705649,Sistem Informasi Geografis
20061,705652,Sistem Multimedia
20061,705608,Kerja Praktek
20061,705740,Kewirausahaan
20061,705880,Kuliah Kerja Nyata
20061,705883,Sistem Informasi Enterprise
20061,705882,Tugas Akhir Skripsi
20061,705111,Praktik Ibadah
20061,705212,Bahasa Arab II
20061,705435B,Pemrograman Web I 
20061,705432,Sistem Operasi
20061,705534,Etika Profesi
20061,705603,Keamanan Komputer 
20061,705649,Sistem Informasi Geografis
20061,705608,Kerja Praktek
20061,705880,Kuliah Kerja Nyata
20061,705882,Tugas Akhir Skripsi
20061,705101,AlQuran Dan Ilmu Tafsir
20061,705102,Bahasa Indonesia
20061,705103,Bahasa Inggris
20061,705106,Fisika Dasar
20061,705108,Kimia Dasar
20061,705110,Pendidikan Pancasila dan Kewarganegaraan
20061,705109,Pengetahuan Lingkungan
20061,705111,Praktik Ibadah
20061,705217,Aljabar Linier
20061,705212,Bahasa Arab II
20061,705216,English Communication Skill
20061,705213,Ilmu Budaya Dasar  Ilmu Sosial Dasar
20061,705215,Ilmu Fiqih
20061,705214,Ilmu TauhidAqidah
20061,705218,Kalkulus II
20061,705221,Praktik Tilawah
20061,705323,Akhlak Tasawuf
20061,705325,Logika Informatika
20061,705326,Organisasi  Arsitektur Komputer
20061,705327,Probabilitas dan Statistika
20061,705322,Sejarah Peradaban Islam
20061,705438,Grafika Komputer
20061,705431,Jaringan Komputer
20061,705430,Matematika Diskrit
20061,705436,Metode Numerik
20061,705435B,Pemrograman Web I 
20061,705434,Rekayasa Perangkat Lunak I 
20061,705432,Sistem Operasi
20061,705534,Etika Profesi
20061,705538,Interpersonal Skill
20061,705601,Interaksi Manusia dan Komputer
20061,705603,Keamanan Komputer 
20061,705649,Sistem Informasi Geografis
20061,705652,Sistem Multimedia
20061,705608,Kerja Praktek
20061,705740,Kewirausahaan
20061,705759,Sistem Basisdata Terdistribusi
20061,705880,Kuliah Kerja Nyata
20061,705883,Sistem Informasi Enterprise
20061,705882,Tugas Akhir Skripsi
20061,705101,AlQuran Dan Ilmu Tafsir
20061,705104,Bahasa Arab I
20061,705103,Bahasa Inggris
20061,705111,Praktik Ibadah
20061,705211,Hadits dan Ilmu Hadits
20061,705213,Ilmu Budaya Dasar  Ilmu Sosial Dasar
20061,705215,Ilmu Fiqih
20061,705220,Komputer dan Masyarakat
20061,705221,Praktik Tilawah
20061,705329,Pengantar Basis Data
20061,705322,Sejarah Peradaban Islam
20061,705435B,Pemrograman Web I 
20061,705601,Interaksi Manusia dan Komputer
20061,MAT8303,Matematika Diskrit
20061,KM8600,Komprehensif
20061,705880,Kuliah Kerja Nyata
20061,705882,Tugas Akhir Skripsi
20061,705101,AlQuran Dan Ilmu Tafsir
20061,705104,Bahasa Arab I
20061,705102,Bahasa Indonesia
20061,705103,Bahasa Inggris
20061,705106,Fisika Dasar
20061,705110,Pendidikan Pancasila dan Kewarganegaraan
20061,705111,Praktik Ibadah
20061,705212,Bahasa Arab II
20061,705213,Ilmu Budaya Dasar  Ilmu Sosial Dasar
20061,705215,Ilmu Fiqih
20061,705220,Komputer dan Masyarakat
20061,705221,Praktik Tilawah
20061,705326,Organisasi  Arsitektur Komputer
20061,705327,Probabilitas dan Statistika
20061,705322,Sejarah Peradaban Islam
20061,705431,Jaringan Komputer
20061,705430,Matematika Diskrit
20061,705435B,Pemrograman Web I 
20061,705434,Rekayasa Perangkat Lunak I 
20061,705432,Sistem Operasi
20061,705534,Etika Profesi
20061,705601,Interaksi Manusia dan Komputer
20061,705649,Sistem Informasi Geografis
20061,705652,Sistem Multimedia
20061,705759,Sistem Basisdata Terdistribusi
20061,705880,Kuliah Kerja Nyata
20061,705883,Sistem Informasi Enterprise
20061,705213,Ilmu Budaya Dasar  Ilmu Sosial Dasar
20061,705327,Probabilitas dan Statistika
20061,705430,Matematika Diskrit
20061,705436,Metode Numerik
20061,705435B,Pemrograman Web I 
20061,705534,Etika Profesi
20061,705538,Interpersonal Skill
20061,705880,Kuliah Kerja Nyata
20061,705883,Sistem Informasi Enterprise
20061,705882,Tugas Akhir Skripsi
20061,705745,Sistem Terdistribusi
20061,705882,Tugas Akhir Skripsi
20061,705101,AlQuran Dan Ilmu Tafsir
20061,705102,Bahasa Indonesia
20061,705110,Pendidikan Pancasila dan Kewarganegaraan
20061,705107,Pengantar Teknologi Informasi
20061,705212,Bahasa Arab II
20061,705214,Ilmu TauhidAqidah
20061,705220,Komputer dan Masyarakat
20061,705323,Akhlak Tasawuf
20061,705327,Probabilitas dan Statistika
20061,705322,Sejarah Peradaban Islam
20061,705438,Grafika Komputer
20061,705430,Matematika Diskrit
20061,705435B,Pemrograman Web I 
20061,705432,Sistem Operasi
20061,705534,Etika Profesi
20061,705538,Interpersonal Skill
20061,705537,Pemrograman Web II
20061,705603,Keamanan Komputer 
20061,705604,Manajemen Proyek Perangkat Lunak
20061,705649,Sistem Informasi Geografis
20061,UN8301,Sejarah Peradaban Islam
20061,705740,Kewirausahaan
20061,705880,Kuliah Kerja Nyata
20061,705883,Sistem Informasi Enterprise
20061,705882,Tugas Akhir Skripsi
20061,705329,Pengantar Basis Data
20061,705534,Etika Profesi
20061,705608,Kerja Praktek
20061,705759,Sistem Basisdata Terdistribusi
20061,705880,Kuliah Kerja Nyata
20061,705101,AlQuran Dan Ilmu Tafsir
20061,705104,Bahasa Arab I
20061,705111,Praktik Ibadah
20061,705212,Bahasa Arab II
20061,705211,Hadits dan Ilmu Hadits
20061,705218,Kalkulus II
20061,705220,Komputer dan Masyarakat
20061,705221,Praktik Tilawah
20061,705327,Probabilitas dan Statistika
20061,705322,Sejarah Peradaban Islam
20061,705430,Matematika Diskrit
20061,705435B,Pemrograman Web I 
20061,705432,Sistem Operasi
20061,705538,Interpersonal Skill
20061,705537,Pemrograman Web II
20061,705649,Sistem Informasi Geografis
20061,705759,Sistem Basisdata Terdistribusi
20061,UN8201,Akhlak Tasawuf
20061,705880,Kuliah Kerja Nyata
20061,705883,Sistem Informasi Enterprise
20061,705882,Tugas Akhir Skripsi
20061,705101,AlQuran Dan Ilmu Tafsir
20061,705104,Bahasa Arab I
20061,705111,Praktik Ibadah
20061,705212,Bahasa Arab II
20061,705211,Hadits dan Ilmu Hadits
20061,705218,Kalkulus II
20061,705220,Komputer dan Masyarakat
20061,705221,Praktik Tilawah
20061,705326,Organisasi  Arsitektur Komputer
20061,705322,Sejarah Peradaban Islam
20061,705430,Matematika Diskrit
20061,705436,Metode Numerik
20061,705435B,Pemrograman Web I 
20061,705432,Sistem Operasi
20061,705534,Etika Profesi
20061,705538,Interpersonal Skill
20061,705533,Riset Teknologi Informasi
20061,705649,Sistem Informasi Geografis
20061,705652,Sistem Multimedia
20061,UN8301,Sejarah Peradaban Islam
20061,705740,Kewirausahaan
20061,705880,Kuliah Kerja Nyata
20061,705883,Sistem Informasi Enterprise
20061,705882,Tugas Akhir Skripsi
20061,705101,AlQuran Dan Ilmu Tafsir
20061,705103,Bahasa Inggris
20061,705211,Hadits dan Ilmu Hadits
20061,705213,Ilmu Budaya Dasar  Ilmu Sosial Dasar
20061,705324,Struktur Data
20061,705534,Etika Profesi
20061,705533,Riset Teknologi Informasi
20061,705101,AlQuran Dan Ilmu Tafsir
20061,705211,Hadits dan Ilmu Hadits
20061,705213,Ilmu Budaya Dasar  Ilmu Sosial Dasar
20061,705435B,Pemrograman Web I 
20061,705537,Pemrograman Web II
20061,705603,Keamanan Komputer 
20061,705608,Kerja Praktek
20061,705436,Metode Numerik
20061,705880,Kuliah Kerja Nyata
20061,705883,Sistem Informasi Enterprise
20061,705101,AlQuran Dan Ilmu Tafsir
20061,705111,Praktik Ibadah
20061,705211,Hadits dan Ilmu Hadits
20061,705221,Praktik Tilawah
20061,705322,Sejarah Peradaban Islam
20061,705534,Etika Profesi
20061,705537,Pemrograman Web II
20061,705604,Manajemen Proyek Perangkat Lunak
20061,705608,Kerja Praktek
20061,705608,Kerja Praktek
20061,KM8600,Komprehensif
20061,705880,Kuliah Kerja Nyata
20061,705883,Sistem Informasi Enterprise
20061,705758,ecommerce
20061,705101,AlQuran Dan Ilmu Tafsir
20061,705102,Bahasa Indonesia
20061,705106,Fisika Dasar
20061,705110,Pendidikan Pancasila dan Kewarganegaraan
20061,705107,Pengantar Teknologi Informasi
20061,705109,Pengetahuan Lingkungan
20061,705111,Praktik Ibadah
20061,705217,Aljabar Linier
20061,705212,Bahasa Arab II
20061,705216,English Communication Skill
20061,705211,Hadits dan Ilmu Hadits
20061,705215,Ilmu Fiqih
20061,705221,Praktik Tilawah
20061,705323,Akhlak Tasawuf
20061,705328,Komunikasi Data
20061,705327,Probabilitas dan Statistika
20061,705430,Matematika Diskrit
20061,705435B,Pemrograman Web I 
20061,705432,Sistem Operasi
20061,705534,Etika Profesi
20061,705538,Interpersonal Skill
20061,705608,Kerja Praktek
20061,705537,Pemrograman Web II
20061,705535,Rekayasa Perangkat Lunak II
20061,705533,Riset Teknologi Informasi
20061,705602,Anal Peranc Sistem Berorientasi Objek
20061,705601,Interaksi Manusia dan Komputer
20061,705604,Manajemen Proyek Perangkat Lunak
20061,705649,Sistem Informasi Geografis
20061,705740,Kewirausahaan
20061,705742,WirelessMobile Computing
20061,KM8600,Komprehensif
20061,705880,Kuliah Kerja Nyata
20061,705883,Sistem Informasi Enterprise
20061,705882,Tugas Akhir Skripsi
20061,705101,AlQuran Dan Ilmu Tafsir
20061,705102,Bahasa Indonesia
20061,705103,Bahasa Inggris
20061,705107,Pengantar Teknologi Informasi
20061,705111,Praktik Ibadah
20061,705212,Bahasa Arab II
20061,705216,English Communication Skill
20061,705326,Organisasi  Arsitektur Komputer
20061,705327,Probabilitas dan Statistika
20061,705324,Struktur Data
20061,705435B,Pemrograman Web I 
20061,705534,Etika Profesi
20061,705537,Pemrograman Web II
20061,705603,Keamanan Komputer 
20061,705649,Sistem Informasi Geografis
20061,705652,Sistem Multimedia
20061,UN8201,Akhlak Tasawuf
20061,705880,Kuliah Kerja Nyata
20061,705328,Komunikasi Data
20061,705435B,Pemrograman Web I 
20061,705534,Etika Profesi
20061,705603,Keamanan Komputer 
20061,705649,Sistem Informasi Geografis
20061,705608,Kerja Praktek
20061,UN8201,Akhlak Tasawuf
20061,705880,Kuliah Kerja Nyata
20061,705103,Bahasa Inggris
20061,705110,Pendidikan Pancasila dan Kewarganegaraan
20061,705109,Pengetahuan Lingkungan
20061,705111,Praktik Ibadah
20061,705211,Hadits dan Ilmu Hadits
20061,705213,Ilmu Budaya Dasar  Ilmu Sosial Dasar
20061,705215,Ilmu Fiqih
20061,705220,Komputer dan Masyarakat
20061,705221,Praktik Tilawah
20061,705329,Pengantar Basis Data
